"","X","original_title","id","release_date","Actor","Director","actorMovieCount","directorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","holidays","success_1_to_1"
"129",453,"crocodile dundee in los angeles",9290,2001-04-12,"paulhogan","simonwincer",0,0,92,2.5e+07,25590119,"Q2",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"130",1985,"the other side of heaven",16651,2001-04-12,"christophergorham","mitchdavis",0,0,113,7e+06,4720371,"Q4",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"131",666,"freddy got fingered",13166,2001-04-18,"tomgreen","tomgreen",0,0,87,1.5e+07,14249005,"Q2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"132",980,"kissing jessica stein",15647,2001-04-21,"jenniferwestfeldt","charleshermanwurmfeld",0,1,97,1500000,7025722,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"133",544,"driven",10477,2001-04-27,"kippardue","rennyharlin",0,0,116,7.2e+07,32616869,"Q2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"134",123,"angel eyes",5852,2001-05-15,"jenniferlopez","luismandoki",1,0,102,3.8e+07,24044532,"Q2",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
"135",1134,"metropolis",9606,2001-05-26,"yukaimoto","rintaro",0,0,108,1.5e+07,673414,"Q1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"136",1689,"the animal",11090,2001-06-01,"robschneider","lukegreenfield",0,0,84,2.2e+07,55762229,"Q2",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"137",161,"atlantis the lost empire",10865,2001-06-02,"michaeljfox","garytrousdale",0,0,95,9e+07,84052762,"Q2",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"138",1652,"swordfish",9705,2001-06-07,"johntravolta","dominicsena",0,0,99,8e+07,69772969,"Q2",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0
