"","original_title","id","release_date","Actor","actorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","scifi"
"1562","someone like you ","12658",2001-03-30,"ashleyjudd",4,97,2.3e+07,27338033,"Q1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2145","tomcats","10646",2001-03-30,"jerryoconnell",1,95,1.1e+07,13558739,"Q1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"950","josie and the pussycats","19366",2001-04-06,"rachaelleighcook",2,98,2.2e+07,14252830,"Q2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"964","just visiting","56715",2001-04-06,"jeanreno",1,88,4e+07,4777007,"Q2",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"453","crocodile dundee in los angeles","9290",2001-04-12,"paulhogan",2,92,2.5e+07,25590119,"Q2",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985","the other side of heaven","16651",2001-04-12,"christophergorham",1,113,7e+06,4720371,"Q4",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"666","freddy got fingered","13166",2001-04-18,"tomgreen",1,87,1.5e+07,14249005,"Q2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"980","kissing jessica stein","15647",2001-04-21,"jenniferwestfeldt",1,97,1500000,7025722,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"544","driven","10477",2001-04-27,"kippardue",1,116,7.2e+07,32616869,"Q2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"123","angel eyes","5852",2001-05-15,"jenniferlopez",4,102,3.8e+07,24044532,"Q2",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"1134","metropolis","9606",2001-05-26,"yukaimoto",1,108,1.5e+07,673414,"Q1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
